id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
898,Lavo is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free. Chris,,is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free.,,1,0,0
904,"Please take note of below. Add to list, assign to Viverito. Note it as only a payment netting agreement. Thanks.",,. Attach Viverito as a payment netting agreement... Attach Viverito as a payment netting agreement.... Attach Viverito as a payment netting agreement...,,1,0,0
910,Joanne: I'll hand you the revision to the template below (ignore the second attachment). Sara,,I'll hand you the link to the video below (ignore the second attachment),,1,1,1
916,"Spreadsheet has been updated and sent to Neil Bresnan, Daniel Kang, and Jubran Whalan at EES. Thanks for your help on this. Kate Mark Confer 03/05/2001 09:03 AM",,.. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped. Thanks to all who helped. Thanks to all who helped. Thanks,,0,0,1
922,do we need bus cards,,do we need to have bus cards? Do we need to have bus cards? Do we need to have bus cards? Do we need to have bus cards?,,1,0,0
928,That will help. Ben F Jacoby@ECT 03/23/2001 12:21 PM Sent by: Ben Jacoby@ECT,,said that will help.... Ben F Jacoby@ECT said that will help....... Ben F Jacoby@ECT said that will help. Ben F Jacoby@ECT said that will help.,,1,0,0
934,would you please handle? Thanks. Michelle,,you let me take care of it? Would you let me take care of it? you let me take care of it? Would you let me take care of it? Would you let me take care of it? Would you let me take care of it? Would you let,,0,0,0
940,"Hi Brett, I haven't seen the fax yet. I'll check around. Maybe it got stuck in the wrong pile. Kay Brett R Wiggs 01/03/2001 04:29 AM",,What is your fax #? I'll check around,,0,1,0
946,Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,Mara Enron loans. Tel: (415) 782-7802 Fax (415),,1,1,0
952,"Here are the approvals for 11/01/00 Regards, bd",,. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00.. There are approvals for 11/01/00.,,1,0,0
958,User iD: enronden PW: bnaweb22,,LRM,,0,0,0
964,"Kinda of like a Mary in a Bathtub, only different. ckm Heather Kroll@ECT 10/31/2000 03:55 PM",,This is the Mary in a Bathtub thing except different.,,1,1,0
970,Lets at least get the Florida ones done. Any idea why she didn't go?,,i don't know why she didn't go but we'll try to get the Florida ones done.,,1,1,0
976,FYI,,FYI,,1,1,0
982,- PJM.xls,,,,0,0,0
988,"In order to keep today's polling presenation brief, I am sending everyone a copy of the Executive Summary which Public Opinion Strategies is likely to spend the majority of time discussing. Call if you have questions. Thanks",,Posted in case you'd got questions Public Opinion Strategies Executive Summary,,1,1,0
